Start_Date,Total_kWh
2018-03-08,5.514954545454544
2018-03-09,6.423319148936174
2018-03-10,6.941782608695654
2018-03-11,7.609285714285709
2018-03-12,6.371606382978725
2018-03-13,5.694662650602406
2018-03-14,6.358562499999999
2018-03-15,6.778193548387097
2018-03-16,6.879470588235293
2018-03-17,8.015804347826087
2018-03-18,6.747250000000001
2018-03-19,6.032934210526317
2018-03-20,5.890939393939393
2018-03-21,6.770193548387097
2018-03-22,5.558901960784315
2018-03-23,5.956734177215188
2018-03-24,7.203666666666666
2018-03-25,7.941258064516129
2018-03-26,7.233986111111111
2018-03-27,5.890027027027025
2018-03-28,5.801045977011496
2018-03-29,7.205785714285714
2018-03-30,7.084431818181818
2018-03-31,5.3868301886792445
2018-04-01,7.063243902439025
2018-04-02,6.6979
2018-04-03,6.366597701149427
